time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160103:1410,125.23,46.81,1.4,11.04,4.18,1.77,0
20160103:1510,68.14,12.59,0.38,4.08,4.32,1.43,0
20160103:1610,0,0,0,0,3.87,1.7,0
20160103:1710,0,0,0,0,3.43,1.97,0
20160103:1810,0,0,0,0,2.99,2.23,0
20160103:1910,0,0,0,0,3.23,2.73,0
20160103:2010,0,0,0,0,3.48,3.22,0
20160103:2110,0,0,0,0,3.72,3.71,0
20160103:2210,0,0,0,0,3.57,4.14,0
20160103:2310,0,0,0,0,3.42,4.57,0
20160104:0010,0,0,0,0,3.26,5.01,0
20160104:0110,0,0,0,0,2.95,5.17,0
20160104:0210,0,0,0,0,2.64,5.34,0
20160104:0310,0,0,0,0,2.33,5.5,0
20160104:0410,0,0,0,0,2.51,5.26,0
20160104:0510,0,0,0,0,2.7,5.02,0
20160104:0610,0,0,0,0,2.88,4.77,0
20160104:0710,0,0,0,0,3.15,4.62,0
20160104:0810,0,0,0,0,3.42,4.46,0
20160104:0910,181.66,86.85,2.49,13.12,3.7,4.3,0
20160104:1010,0,0,0,0,3.81,4.34,0
20160104:1110,306.11,170.73,4.79,19.72,3.92,4.39,0
20160104:1210,0,0,0,0,4.03,4.43,0
20160104:1310,488.18,320.2,6.79,16.34,3.93,4,0
20160104:1410,472.89,313.68,5.32,11.17,3.83,3.58,0
20160104:1510,185.27,52.1,1.06,4.22,3.73,3.16,0
20160104:1610,0,0,0,0,3.37,2.89,0
20160104:1710,0,0,0,0,3.02,2.63,0
20160104:1810,0,0,0,0,2.67,2.36,0
20160104:1910,0,0,0,0,2.26,2.35,0
20160104:2010,0,0,0,0,1.85,2.34,0
20160104:2110,0,0,0,0,1.44,2.33,0
20160104:2210,0,0,0,0,0.99,2.33,0
20160104:2310,0,0,0,0,0.54,2.32,0
20160105:0010,0,0,0,0,0.08,2.32,0
20160105:0110,0,0,0,0,0.49,2.39,0
20160105:0210,0,0,0,0,0.89,2.46,0
20160105:0310,0,0,0,0,1.3,2.52,0
20160105:0410,0,0,0,0,1.5,2.8,0
20160105:0510,0,0,0,0,1.71,3.09,0
20160105:0610,0,0,0,0,1.91,3.37,0
20160105:0710,0,0,0,0,2.33,3.44,0
20160105:0810,0,0,0,0,2.75,3.52,0
20160105:0910,0,0,0,0,3.17,3.6,0
20160105:1010,0,0,0,0,3.51,3.78,0
20160105:1110,7.2,2.75,0.11,19.82,3.86,3.97,0
20160105:1210,397.28,239.5,6.07,19.41,4.21,4.15,0
20160105:1310,199.54,93.51,2.79,16.47,4.39,3.38,0
20160105:1410,196.02,85.62,2.23,11.31,4.56,2.62,0
20160105:1510,89.95,19.16,0.53,4.37,4.74,1.85,0
20160105:1610,0,0,0,0,3.85,1.98,0
20160105:1710,0,0,0,0,2.97,2.11,0
20160105:1810,0,0,0,0,2.08,2.23,0
20160105:1910,0,0,0,0,1.96,2.04,0
20160105:2010,0,0,0,0,1.84,1.84,0
20160105:2110,0,0,0,0,1.72,1.64,0
20160105:2210,0,0,0,0,1.38,1.6,0
20160105:2310,0,0,0,0,1.03,1.57,0
20160106:0010,0,0,0,0,0.68,1.53,0
20160106:0110,0,0,0,0,0.88,1.64,0
20160106:0210,0,0,0,0,1.07,1.75,0
20160106:0310,0,0,0,0,1.27,1.86,0
20160106:0410,0,0,0,0,1.11,1.99,0
20160106:0510,0,0,0,0,0.96,2.12,0
20160106:0610,0,0,0,0,0.8,2.25,0
20160106:0710,0,0,0,0,1.14,2.34,0
20160106:0810,229.64,120.1,2.26,6.8,1.48,2.43,0
20160106:0910,103.57,43.2,1.43,13.24,1.83,2.52,0
20160106:1010,343.28,203.36,5.28,17.76,2.36,2.41,0
20160106:1110,11.95,4.61,0.19,19.93,2.89,2.29,0
20160106:1210,108.07,46.81,1.66,19.54,3.42,2.18,0
20160106:1310,235.87,116.51,3.32,16.61,3.73,2.08,0
20160106:1410,233.6,109.69,2.68,11.46,4.04,1.98,0
20160106:1510,12.48,1.94,0.08,4.52,4.35,1.88,0
20160106:1610,0,0,0,0,3.72,1.93,0
20160106:1710,0,0,0,0,3.09,1.99,0
20160106:1810,0,0,0,0,2.46,2.04,0
20160106:1910,0,0,0,0,2.38,2.07,0
20160106:2010,0,0,0,0,2.3,2.1,0
20160106:2110,0,0,0,0,2.21,2.12,0
20160106:2210,0,0,0,0,2.07,2.21,0
20160106:2310,0,0,0,0,1.92,2.3,0
20160107:0010,0,0,0,0,1.77,2.39,0
20160107:0110,0,0,0,0,1.56,2.23,0
20160107:0210,0,0,0,0,1.35,2.08,0
20160107:0310,0,0,0,0,1.14,1.93,0
20160107:0410,0,0,0,0,0.71,2.2,0
20160107:0510,0,0,0,0,0.29,2.47,0
20160107:0610,0,0,0,0,-0.13,2.74,0
20160107:0710,0,0,0,0,0.36,3.08,0
20160107:0810,257.94,144.31,2.56,6.85,0.85,3.42,0
20160107:0910,16.26,5.65,0.23,13.32,1.34,3.75,0
20160107:1010,0,0,0,0,1.77,4.32,0
20160107:1110,0,0,0,0,2.21,4.88,0
20160107:1210,0,0,0,0,2.64,5.45,0
20160107:1310,0,0,0,0,3.01,5.52,0
20160107:1410,0,0,0,0,3.38,5.59,0
20160107:1510,60.57,12.15,0.38,4.67,3.75,5.66,0
20160107:1610,0,0,0,0,4.3,5.56,0
20160107:1710,0,0,0,0,4.85,5.47,0
20160107:1810,0,0,0,0,5.4,5.38,0
20160107:1910,0,0,0,0,5.08,5.19,0
20160107:2010,0,0,0,0,4.76,5,0
20160107:2110,0,0,0,0,4.44,4.81,0
20160107:2210,0,0,0,0,4.08,4.42,0
20160107:2310,0,0,0,0,3.71,4.02,0
20160108:0010,0,0,0,0,3.34,3.63,0
20160108:0110,0,0,0,0,3.48,3.15,0
20160108:0210,0,0,0,0,3.61,2.67,0
20160108:0310,0,0,0,0,3.75,2.19,0
20160108:0410,0,0,0,0,3.6,1.81,0
20160108:0510,0,0,0,0,3.45,1.42,0
20160108:0610,0,0,0,0,3.3,1.03,0
20160108:0710,0,0,0,0,3.49,1.26,0
20160108:0810,120.21,47.03,1.21,6.91,3.67,1.48,0
20160108:0910,5.39,1.83,0.08,13.4,3.86,1.7,0
20160108:1010,0,0,0,0,4.35,1.83,0
20160108:1110,0,0,0,0,4.85,1.96,0
20160108:1210,7.29,2.75,0.11,19.81,5.35,2.1,0
20160108:1310,0,0,0,0,5.38,1.91,0
20160108:1410,0,0,0,0,5.4,1.72,0
20160108:1510,0,0,0,0,5.43,1.53,0
20160108:1610,0,0,0,0,5.29,1.83,0
20160108:1710,0,0,0,0,5.16,2.13,0
20160108:1810,0,0,0,0,5.02,2.43,0
20160108:1910,0,0,0,0,5.1,2.63,0
20160108:2010,0,0,0,0,5.18,2.84,0
20160108:2110,0,0,0,0,5.26,3.05,0
20160108:2210,0,0,0,0,5.17,3.02,0
20160108:2310,0,0,0,0,5.08,2.99,0
20160109:0010,0,0,0,0,4.98,2.97,0
20160109:0110,0,0,0,0,4.82,2.84,0
20160109:0210,0,0,0,0,4.66,2.71,0
20160109:0310,0,0,0,0,4.5,2.58,0
20160109:0410,0,0,0,0,4.61,2.57,0
20160109:0510,0,0,0,0,4.73,2.57,0
20160109:0610,0,0,0,0,4.84,2.57,0
20160109:0710,0,0,0,0,5.04,2.51,0
20160109:0810,3.72,6.46,0.15,6.98,5.24,2.46,0
20160109:0910,0,56.12,1.17,13.49,5.44,2.41,0
20160109:1010,0,30.77,0.64,18.07,5.65,2.4,0
20160109:1110,0,56.12,1.17,20.31,5.87,2.38,0
20160109:1210,0,37.11,0.77,19.96,6.09,2.36,0
20160109:1310,0,44.35,0.92,17.07,6.27,2.23,0
20160109:1410,0,47.97,1,11.94,6.45,2.1,0
20160109:1510,0,14.48,0.3,5,6.63,1.97,0
20160109:1610,0,0,0,0,5.94,1.94,0
20160109:1710,0,0,0,0,5.26,1.91,0
20160109:1810,0,0,0,0,4.58,1.88,0
20160109:1910,0,0,0,0,4.24,2.04,0
20160109:2010,0,0,0,0,3.9,2.21,0
20160109:2110,0,0,0,0,3.55,2.37,0
20160109:2210,0,0,0,0,3.46,2.57,0
20160109:2310,0,0,0,0,3.37,2.77,0
20160110:0010,0,0,0,0,3.28,2.97,0
20160110:0110,0,0,0,0,3.54,3.02,0
20160110:0210,0,0,0,0,3.8,3.07,0
20160110:0310,0,0,0,0,4.07,3.12,0
20160110:0410,0,0,0,0,4.35,3.19,0
20160110:0510,0,0,0,0,4.64,3.26,0
20160110:0610,0,0,0,0,4.92,3.34,0
20160110:0710,0,0,0,0,5.31,3.33,0
20160110:0810,0,13.58,0.28,7.06,5.7,3.32,0
20160110:0910,0,43.45,0.91,13.58,6.1,3.31,0
20160110:1010,0,38.92,0.81,18.19,6.22,3.29,0
20160110:1110,0,28.06,0.58,20.44,6.35,3.27,0
20160110:1210,0,33.49,0.7,20.12,6.48,3.26,0
20160110:1310,44.38,37.27,1.04,17.24,6,3.11,0
20160110:1410,0,43.45,0.91,12.11,5.51,2.97,0
20160110:1510,0,6.34,0.13,5.17,5.03,2.83,0
20160110:1610,0,0,0,0,5.1,3.4,0
20160110:1710,0,0,0,0,5.18,3.97,0
20160110:1810,0,0,0,0,5.26,4.54,0
20160110:1910,0,0,0,0,5.37,4.59,0
20160110:2010,0,0,0,0,5.49,4.65,0
20160110:2110,0,0,0,0,5.6,4.7,0
20160110:2210,0,0,0,0,5.27,4.04,0
20160110:2310,0,0,0,0,4.94,3.38,0
20160111:0010,0,0,0,0,4.61,2.72,0
20160111:0110,0,0,0,0,4.58,2.51,0
20160111:0210,0,0,0,0,4.54,2.31,0
20160111:0310,0,0,0,0,4.51,2.11,0
20160111:0410,0,0,0,0,4.43,2.38,0
20160111:0510,0,0,0,0,4.36,2.65,0
20160111:0610,0,0,0,0,4.29,2.92,0
20160111:0710,0,0,0,0,5.02,3.95,0
20160111:0810,83.55,78.23,1.58,7.14,5.75,4.98,0
20160111:0910,177,98.8,2.72,13.69,6.48,6.01,0
20160111:1010,0,24.44,0.51,18.31,6.42,6.79,0
20160111:1110,0,28.06,0.58,20.59,6.36,7.57,0
20160111:1210,0,27.15,0.57,20.28,6.3,8.34,0
20160111:1310,64.8,125.75,2.81,17.41,6,7.65,0
20160111:1410,137.35,117.67,2.6,12.29,5.69,6.96,0
20160111:1510,280.22,34.57,1.26,5.35,5.39,6.26,0
20160111:1610,0,0,0,0,4.91,6.35,0
20160111:1710,0,0,0,0,4.44,6.44,0
20160111:1810,0,0,0,0,3.97,6.52,0
20160111:1910,0,0,0,0,3.73,6.6,0
20160111:2010,0,0,0,0,3.49,6.67,0
20160111:2110,0,0,0,0,3.24,6.74,0
20160111:2210,0,0,0,0,3.15,6.54,0
20160111:2310,0,0,0,0,3.06,6.33,0
20160112:0010,0,0,0,0,2.96,6.12,0
20160112:0110,0,0,0,0,2.89,6.21,0
20160112:0210,0,0,0,0,2.82,6.29,0
20160112:0310,0,0,0,0,2.76,6.37,0
20160112:0410,0,0,0,0,2.48,6.31,0
20160112:0510,0,0,0,0,2.21,6.24,0
20160112:0610,0,0,0,0,1.93,6.18,0
20160112:0710,0,0,0,0,2.11,5.84,0
20160112:0810,25.11,46.78,1,7.23,2.28,5.5,0
20160112:0910,0,19.01,0.4,13.8,2.46,5.16,0
20160112:1010,49.9,132.51,2.94,18.44,2.55,5.48,0
20160112:1110,162.4,194.52,4.58,20.74,2.65,5.79,0
20160112:1210,26.15,185.46,3.92,20.45,2.74,6.11,0
20160112:1310,48.89,133.15,2.9,17.59,2.81,6.11,0
20160112:1410,114.22,117.65,2.56,12.47,2.88,6.12,0
20160112:1510,10.47,16.28,0.36,5.53,2.95,6.12,0
20160112:1610,0,0,0,0,2.67,5.94,0
20160112:1710,0,0,0,0,2.39,5.76,0
20160112:1810,0,0,0,0,2.11,5.57,0
20160112:1910,0,0,0,0,1.89,5.52,0
20160112:2010,0,0,0,0,1.67,5.46,0
20160112:2110,0,0,0,0,1.45,5.41,0
20160112:2210,0,0,0,0,1.23,5.63,0
20160112:2310,0,0,0,0,1,5.85,0
20160113:0010,0,0,0,0,0.77,6.07,0
20160113:0110,0,0,0,0,0.64,6.45,0
20160113:0210,0,0,0,0,0.51,6.82,0
20160113:0310,0,0,0,0,0.38,7.2,0
20160113:0410,0,0,0,0,0.31,7.12,0
20160113:0510,0,0,0,0,0.24,7.03,0
20160113:0610,0,0,0,0,0.17,6.95,0
20160113:0710,0,0,0,0,0.32,6.84,0
20160113:0810,95.59,37.05,1.04,7.32,0.47,6.72,0
20160113:0910,0,19.01,0.4,13.91,0.63,6.61,0
20160113:1010,0,40.73,0.85,18.58,0.66,6.63,0
20160113:1110,0,135.77,2.83,20.9,0.69,6.64,0
20160113:1210,0,73.32,1.53,20.62,0.72,6.66,0
20160113:1310,30.65,108.91,2.38,17.77,0.6,5.9,0
20160113:1410,45.78,91.51,1.98,12.66,0.48,5.14,0
20160113:1510,25.45,31.99,0.68,5.72,0.36,4.37,0
20160113:1610,0,0,0,0,-0.25,3.59,0
20160113:1710,0,0,0,0,-0.86,2.8,0
20160113:1810,0,0,0,0,-1.47,2.01,0
20160113:1910,0,0,0,0,-2.35,1.94,0
20160113:2010,0,0,0,0,-3.23,1.88,0
20160113:2110,0,0,0,0,-4.12,1.81,0
20160113:2210,0,0,0,0,-5.45,2.01,0
20160113:2310,0,0,0,0,-6.78,2.22,0
20160114:0010,0,0,0,0,-8.11,2.43,0
20160114:0110,0,0,0,0,-8.02,2.26,0
20160114:0210,0,0,0,0,-7.94,2.09,0
20160114:0310,0,0,0,0,-7.85,1.92,0
20160114:0410,0,0,0,0,-7.96,2.09,0
20160114:0510,0,0,0,0,-8.06,2.27,0
20160114:0610,0,0,0,0,-8.16,2.44,0
20160114:0710,0,0,0,0,-7,2.74,0
20160114:0810,13.97,38.61,0.83,7.43,-5.84,3.04,0
20160114:0910,139.45,109.79,2.75,14.04,-4.67,3.34,0
20160114:1010,65.72,122.46,2.83,18.73,-2.76,3.46,0
20160114:1110,13.76,110.8,2.38,21.07,-0.85,3.59,0
20160114:1210,0,47.07,0.98,20.8,1.06,3.71,0
20160114:1310,0,30.77,0.64,17.96,1.46,3.52,0
20160114:1410,0,16.29,0.34,12.85,1.87,3.32,0
20160114:1510,0,10.86,0.23,5.91,2.27,3.13,0
20160114:1610,0,0,0,0,1.84,3.32,0
20160114:1710,0,0,0,0,1.42,3.52,0
20160114:1810,0,0,0,0,1,3.71,0
20160114:1910,0,0,0,0,0.81,4.01,0
20160114:2010,0,0,0,0,0.63,4.32,0
20160114:2110,0,0,0,0,0.44,4.62,0
20160114:2210,0,0,0,0,0.2,4.81,0
20160114:2310,0,0,0,0,-0.04,5,0
20160115:0010,0,0,0,0,-0.29,5.19,0
20160115:0110,0,0,0,0,-0.37,5.32,0
20160115:0210,0,0,0,0,-0.46,5.46,0
20160115:0310,0,0,0,0,-0.54,5.6,0
20160115:0410,0,0,0,0,-0.91,5.76,0
20160115:0510,0,0,0,0,-1.27,5.91,0
20160115:0610,0,0,0,0,-1.64,6.07,0
20160115:0710,0,0,0,0,-1.65,6.05,0
20160115:0810,210,71.47,1.9,7.53,-1.67,6.02,0
20160115:0910,266.38,106.99,3.36,14.17,-1.68,6,0
20160115:1010,186.55,171.28,4.24,18.88,-1.58,6.41,0
20160115:1110,232.5,193.41,4.94,21.24,-1.48,6.83,0
20160115:1210,216.99,182.87,4.64,20.99,-1.38,7.24,0
20160115:1310,0,78.75,1.64,18.16,-1.43,6.54,0
20160115:1410,0,16.29,0.34,13.05,-1.49,5.83,0
20160115:1510,255.05,65.27,1.53,6.11,-1.54,5.13,0
20160115:1610,0,0,0,0,-1.94,4.93,0
20160115:1710,0,0,0,0,-2.34,4.73,0
20160115:1810,0,0,0,0,-2.74,4.52,0
20160115:1910,0,0,0,0,-2.81,4.27,0
20160115:2010,0,0,0,0,-2.88,4.01,0
20160115:2110,0,0,0,0,-2.96,3.75,0
20160115:2210,0,0,0,0,-3.08,3.49,0
20160115:2310,0,0,0,0,-3.21,3.24,0
20160116:0010,0,0,0,0,-3.34,2.98,0
20160116:0110,0,0,0,0,-3.31,2.97,0
20160116:0210,0,0,0,0,-3.29,2.96,0
20160116:0310,0,0,0,0,-3.26,2.95,0
20160116:0410,0,0,0,0,-3.41,2.76,0
20160116:0510,0,0,0,0,-3.56,2.57,0
20160116:0610,0,0,0,0,-3.71,2.39,0
20160116:0710,0,0,0,0,-3.47,2.46,0
20160116:0810,16.96,43.89,0.94,7.65,-3.24,2.54,0
20160116:0910,7.62,57.99,1.24,14.3,-3,2.62,0
20160116:1010,11.58,71,1.55,19.04,-2.6,2.79,0
20160116:1110,40.78,75.68,1.83,21.42,-2.2,2.96,0
20160116:1210,2.32,84.46,1.77,21.19,-1.8,3.13,0
20160116:1310,0,43.45,0.91,18.36,-1.75,3.26,0
20160116:1410,11.79,31.7,0.72,13.25,-1.69,3.4,0
20160116:1510,0,6.34,0.13,6.31,-1.64,3.53,0
20160116:1610,0,0,0,0,-2.09,3.32,0
20160116:1710,0,0,0,0,-2.54,3.12,0
20160116:1810,0,0,0,0,-2.99,2.91,0
20160116:1910,0,0,0,0,-3.09,3.04,0
20160116:2010,0,0,0,0,-3.19,3.18,0
20160116:2110,0,0,0,0,-3.29,3.31,0
20160116:2210,0,0,0,0,-3.44,3.31,0
20160116:2310,0,0,0,0,-3.59,3.31,0
20160117:0010,0,0,0,0,-3.74,3.31,0
20160117:0110,0,0,0,0,-3.72,3.15,0
20160117:0210,0,0,0,0,-3.7,3,0
20160117:0310,0,0,0,0,-3.68,2.84,0
20160117:0410,0,0,0,0,-3.73,2.98,0
20160117:0510,0,0,0,0,-3.77,3.13,0
20160117:0610,0,0,0,0,-3.81,3.27,0
20160117:0710,0,0,0,0,-3.55,3.69,0
20160117:0810,180.4,76.82,1.9,7.77,-3.3,4.11,0
20160117:0910,203.93,6.55,1.62,14.45,-3.04,4.52,0
20160117:1010,0,91.42,1.9,19.21,-2.93,4.63,0
20160117:1110,0,29.87,0.62,21.61,-2.82,4.74,0
20160117:1210,48.35,100.72,2.36,21.39,-2.71,4.84,0
20160117:1310,0,30.77,0.64,18.57,-2.85,4.52,0
20160117:1410,49.53,97.64,2.13,13.46,-2.99,4.2,0
20160117:1510,250.6,68.38,1.62,6.51,-3.13,3.88,0
20160117:1610,0,0,0,0,-3.69,3.31,0
20160117:1710,0,0,0,0,-4.24,2.74,0
20160117:1810,0,0,0,0,-4.8,2.18,0
20160117:1910,0,0,0,0,-5.2,1.92,0
20160117:2010,0,0,0,0,-5.6,1.66,0
20160117:2110,0,0,0,0,-6,1.41,0
20160117:2210,0,0,0,0,-6.68,1.51,0
20160117:2310,0,0,0,0,-7.36,1.61,0
20160118:0010,0,0,0,0,-8.05,1.71,0
20160118:0110,0,0,0,0,-8.53,1.9,0
20160118:0210,0,0,0,0,-9.01,2.1,0
20160118:0310,0,0,0,0,-9.48,2.29,0
20160118:0410,0,0,0,0,-10.08,2.55,0
20160118:0510,0,0,0,0,-10.67,2.8,0
20160118:0610,0,0,0,0,-11.27,3.06,0
20160118:0710,0,0,0,0,-10.66,3.16,0
20160118:0810,6.58,29.8,0.64,7.9,-10.06,3.26,0
20160118:0910,52.4,101.82,2.3,14.6,-9.45,3.37,0
20160118:1010,27.41,106.72,2.36,19.38,-7.09,3.11,0
20160118:1110,26.84,121.15,2.66,21.8,-4.72,2.85,0
20160118:1210,13.72,114.44,2.45,21.6,-2.36,2.59,0
20160118:1310,147.29,164.95,3.89,18.79,-2.18,2.23,0
20160118:1410,23.03,78.41,1.7,13.68,-2.01,1.87,0
20160118:1510,57.67,45.41,0.96,6.72,-1.83,1.5,0
20160118:1610,0,0,0,0,-3.24,1.75,0
20160118:1710,0,0,0,0,-4.64,1.99,0
20160118:1810,0,0,0,0,-6.04,2.23,0
20160118:1910,0,0,0,0,-6.45,2.25,0
20160118:2010,0,0,0,0,-6.86,2.27,0
20160118:2110,0,0,0,0,-7.27,2.29,0
20160118:2210,0,0,0,0,-7.15,2.37,0
20160118:2310,0,0,0,0,-7.03,2.45,0
20160119:0010,0,0,0,0,-6.91,2.52,0
20160119:0110,0,0,0,0,-6.52,2.51,0
20160119:0210,0,0,0,0,-6.13,2.49,0
20160119:0310,0,0,0,0,-5.73,2.47,0
20160119:0410,0,0,0,0,-5.44,2.39,0
20160119:0510,0,0,0,0,-5.14,2.3,0
20160119:0610,0,0,0,0,-4.84,2.22,0
20160119:0710,0,0,0,0,-4.1,2.29,0
20160119:0810,6.47,49.31,1.04,8.04,-3.36,2.35,0
20160119:0910,17.31,75.09,1.64,14.76,-2.62,2.41,0
20160119:1010,0,86.89,1.81,19.56,-1.53,2.24,0
20160119:1110,0,50.69,1.06,22,-0.43,2.06,0
20160119:1210,0,41.64,0.87,21.81,0.67,1.89,0
20160119:1310,0,64.26,1.34,19,0.84,1.61,0
20160119:1410,11.38,70.67,1.51,13.89,1.01,1.34,0
20160119:1510,0,28.06,0.58,6.94,1.18,1.06,0
20160119:1610,0,0,0,0,0.86,0.99,0
20160119:1710,0,0,0,0,0.54,0.92,0
20160119:1810,0,0,0,0,0.22,0.86,0
20160119:1910,0,0,0,0,0.02,1,0
20160119:2010,0,0,0,0,-0.18,1.14,0
20160119:2110,0,0,0,0,-0.39,1.28,0
20160119:2210,0,0,0,0,-0.51,1.23,0
20160119:2310,0,0,0,0,-0.64,1.18,0
20160120:0010,0,0,0,0,-0.77,1.13,0
20160120:0110,0,0,0,0,-1.04,1.14,0
20160120:0210,0,0,0,0,-1.31,1.15,0
20160120:0310,0,0,0,0,-1.57,1.16,0
20160120:0410,0,0,0,0,-1.59,1.07,0
20160120:0510,0,0,0,0,-1.6,0.98,0
20160120:0610,0,0,0,0,-1.61,0.9,0
20160120:0710,0,0,0,0,-1.31,0.86,0
20160120:0810,38.2,64.09,1.38,8.18,-1.01,0.82,0
20160120:0910,9.8,71.14,1.53,14.92,-0.71,0.79,0
20160120:1010,42.77,101.32,2.34,19.75,0.02,0.74,0
20160120:1110,39.71,149.82,3.3,22.21,0.75,0.69,0
20160120:1210,15.78,158.18,3.36,22.03,1.48,0.65,0
20160120:1310,41.04,113.99,2.55,19.23,1.51,0.93,0
20160120:1410,44.97,101.09,2.21,14.12,1.55,1.22,0
20160120:1510,122.07,63.43,1.36,7.16,1.58,1.5,0
20160120:1610,0,0,0,0,0.65,1.58,0
20160120:1710,0,0,0,0,-0.27,1.66,0
20160120:1810,0,0,0,0,-1.2,1.74,0
20160120:1910,0,0,0,0,-1.64,1.49,0
20160120:2010,0,0,0,0,-2.08,1.24,0
20160120:2110,0,0,0,0,-2.53,0.99,0
20160120:2210,0,0,0,0,-2.93,0.81,0
20160120:2310,0,0,0,0,-3.33,0.63,0
20160121:0010,0,0,0,0,-3.73,0.44,0
20160121:0110,0,0,0,0,-3.82,0.91,0
20160121:0210,0,0,0,0,-3.92,1.38,0
20160121:0310,0,0,0,0,-4.01,1.85,0
20160121:0410,0,0,0,0,-4.47,1.88,0
20160121:0510,0,0,0,0,-4.93,1.9,0
20160121:0610,0,0,0,0,-5.39,1.93,0
20160121:0710,0,0,0,0,-4.74,1.94,0
20160121:0810,216,68.12,2.06,8.33,-4.1,1.95,0
20160121:0910,320.2,102,3.77,15.09,-3.45,1.96,0
20160121:1010,180.97,174.29,4.38,19.94,-1.92,1.82,0
20160121:1110,232.26,192.42,5.05,22.42,-0.38,1.68,0
20160121:1210,217.15,202,5.07,22.26,1.15,1.54,0
20160121:1310,251.34,168.98,4.49,19.46,1.28,1.69,0
20160121:1410,205.47,135.93,3.32,14.35,1.4,1.83,0
20160121:1510,143.59,72.93,1.55,7.38,1.53,1.97,0
20160121:1610,0,0,0,0,0,2,0
20160121:1710,0,0,0,0,-1.52,2.04,0
20160121:1810,0,0,0,0,-3.04,2.07,0
20160121:1910,0,0,0,0,-3.85,1.92,0
20160121:2010,0,0,0,0,-4.66,1.77,0
20160121:2110,0,0,0,0,-5.47,1.63,0
20160121:2210,0,0,0,0,-6.32,1.77,0
20160121:2310,0,0,0,0,-7.17,1.92,0
20160122:0010,0,0,0,0,-8.02,2.07,0
20160122:0110,0,0,0,0,-7.43,2.16,0
20160122:0210,0,0,0,0,-6.84,2.24,0
20160122:0310,0,0,0,0,-6.24,2.33,0
20160122:0410,0,0,0,0,-6.44,2.4,0
